# Animales y Naturaleza
Oso|Pez
Pavo real|Abanico
Camello|Arena
Lirio|Rana
Lobo|Luna
Represa|Castor
Elefante|Safari
Flamenco|Camarón
Búho|Nieve
Canguro|Koala
Jungla|Serpiente
Muerte|Cuervo
Delfín|Orca
Zorro|Gallina
Tortuga|Galápagos
León|Sabana
Polo Sur|Pingüino
Hormiga|Trabajo
Abeja|Verano
Ballena|Dory
Mandíbula|Tiburón
Río de Janeiro|Loro
Caballo|Libertad
Gorila|Plata
Murciélago|Fruta
Venado|Tambor
Misisipi|Águila
Cisne|Lago
Grillo|Campo
Leopardo|Manchas
Mascarilla|Mapache
Chita|Velocidad
Araña|Nueva York
Playa|Medusa
Glaciar|Oso polar
Jirafa|Madagascar
Maine|Langosta
Pulpo|Pluma
Cuervo|Pantera
Foca|Rosa
Mariposa|Algodoncillo
Burro|Santorini
Lluvia|Caracol
Cangrejo|Araña
Rana|Grillo
Siberia|Tigre
Gaviota|Playa
Cocodrilo|Nilo
Pingüino|Nueva Zelanda
Loro|Gato
Cuervo|Bandada
Conejo|Agujero
Tiburón|Paleozoico
Trueno|Júpiter
Sol|Playa
Océano Atlántico|Huracán
Tsunami|Derrumbe
Ola|Hawái
Papel|Árbol
Universo|Energía
Vida|Tiempo
Océano|Tormenta
Lago|Sal
Oxígeno|Fuego
Biología|Célula
Tiza|Hielo
Clima|Invierno
Planeta|Gas
Era de hielo|Bellota
Avalancha|Montaña
Bisonte|Llanuras
Floración|Néctar
Cañón|Águila
Ardilla listada|Nueces
Coral|Arrecife
Desierto|Espejismo
Ecosistema|Equilibrio
Halcón|Picado
Luciérnaga|Brillo
Gecko|Hoja
Colibrí|Azúcar
Koala|Eucalipto
Meteoro|Cráter
Nutria|Río
Selva tropical|Dosel
Rinoceronte|Cuerno
Volcán|Ceniza
Naturaleza salvaje|Huellas
