# Categoría 23
Tamal|Pozole
Ponche|Atole
Piñata|Dulces
Posada|Pastorela
Niño Dios|Ángel
María|Burro
Buñuelo|Natilla
Natilla|Manjar blanco
Velitas|Farolitos
Luces|Bengalas
Peregrinación|Letanía
Cena|Brindis
Pan dulce|Turrón
Asado|Ensalada rusa
Sidra|Espumante
Cola de mono|Pan de Pascua
Árbol|Guirnalda
Corona|Listones
Santa|Duende
Juguete|Peluche
Coro|Rondalla
Papel|Moño
Pino|Muérdago
Reno|Trineo
Trineo|Chimenea
Galletas|Chocolates
José|Pastor
Parranda|Verbena
Estrella|Velas
Esferas|Cintas
Villancicos|Campanas
Muñeco de nieve|Pingüino
Lista|Calcetín
Pan|Salsas
Uvas|Maletas
Brindis|Abrazo
Mantel|Centro de mesa
Nochebuena|Lirio
Fotos|Juegos
Novena (Colombia)|Serenata
Rosca|Buñuelo
Cohetes|Chispitas
Carta|Tarjeta
Elfo|Rodolfo
Establo|Pesebre
Regalos|Sobres
Vitel toné|Matambre
Centro de mesa|Velón
Helado|Fruta fresca
Canela|Clavo
Aguinaldos|Villancicos
Cartas a Santa|Manualidades
Carroza|Botargas
Pan de Pascua|Alfajores
Figuras|Cascada
Botanas|Charolas
Balcón|Patio
Artesanías|Dulces típicos
Campanas|Tambores
Copo|Trineo
Jamón|Queso
Misa del Gallo|Pesebre viviente
Empanadas|Lechona
Garrapiñada|Confituras
Calcetines|Dulceros
Árbol pequeño|Cascanueces
Mangueras de luz|Lámparas navideñas
Nacimientos|Villancicos
Fuegos artificiales|Muñeco de Año Viejo
Romeritos|Bacalao
Flan|Gelatina
Música|Aromatizantes
Gorro rojo|Bufanda
Chocolates|Libretas
Carrito|Muñeca
Servilletas temáticas|Portavelas
Campanitas|Figuritas
Chocolate caliente|Champurrado
Bailes|Coros
Ropa|Accesorios
Empanada|Mote con huesillo
Musgo|Piedritas
Frutas secas|Nueces
Ventilador|Hielo
Decoración|Música
Cinta adhesiva|Etiquetas
Dulces|Calcetines
Escarcha|Figuras de reno
