# Objetos Cotidianos
Martillo|Tiburón
Silla|Espalda
Mesa|Café
Cuchara|Crema
Tenedor|Posidón
Cuchillo|Mantequilla
Plata|Plato
Copa|Campeonato
Vidrio|Arena
Botella|Aerosol
Lata|Boda
Teléfono|Radio
Laptop|Tarjeta
Teclado|Piano
Ratón|Laboratorio
Marco|Pantalla
Control|Satélite
Lámpara|Aceite
Horno|Bombilla
Vela|Corona de flores
Carro|Espejo
Ventana|Caja
Puerta|Armario
Llave|Auto
Candado|Sello
Monedero|Piel
Cartera|Etiqueta
Mochila|Avión
Maleta|Toalla
Sombrero|Paja
Zapatos|Vela
Calcetas|Medida
Playera|Algodón
Cierre|Pantalón
Abrigo|Pelo
Paraguas|Ala
Vacaciones|Gafas de sol
Reloj de pulsera|Monitor
Rueda|Anillo
Collar|Tiara
Manga|Tatuaje
Cama|Monstruo
Funda|Media
Manta|Cuna
Colchón|Aire
Libro|Pop-up
Revista|Diario
Periódico|Columna
Pluma|Bola
Lápiz|Delineador
Borrador|Goma
Dibujo|Cuaderno
Tijeras|Cabello
Regla|Parrilla
Pegamento|Tubo
Cinta adhesiva|Clip
Pincel|Escoba
Cesto|Arco
Caja|Zapato
Sobre|Carta
Sello|Fecha
Calendario|Luna
Reloj|Campana
Radio|Onda
Bocina|Pared
DJ|Audífonos
Micrófono|Televisión
Televisión|Imagen
Cámara|Láser
Trípode|Pierna
Ventilador|Oxígeno
Calefactor|Secadora
Estufa|Carbón
Refrigerador|Leche
Congelador|Helado
Microondas|Radar
Tostadora|Horno
Licuadora|Espátula
Olla|Sopa
Acero|Sartén
Tetera|Cobre
Esponja|Gelatina
Jabón|Barra
Toalla|Ducha
Cepillo de dientes|Lengua
Pasta de dientes|Gel
Marfil|Peine
Cepillo|Rastrillo
Navaja|Jabón
Champú|Sábila
Acondicionador|Espuma
Loción|Seda
Balde|Tierra
Trapeador|Piso
Escoba|Avión
Recogedor|Nube
Basurero|Camión
Reciclaje|Papel
Escalera|Cuerda
