# Categoría 21
Beso|Beso francés
Coqueteo|Provocación
Cita|Aventura de una noche
Secreto|Aventura
Carta de amor|Sexto
Cita a ciegas|Cita rápida
Esposas|Antifaz
Masaje|Aceite corporal
Antro|Table dance
Champaña|Shot de tequila
Encaje|Seda
Tacones|Medias
Amante|Amante prohibida
Enamoramiento|Obsesión
Fantasía|Juego de rol
Deseo|Lujuria
Susurro|Gemido
Vela|Pétalos de rosa
Chocolate|Crema batida
Rosa|Lencería roja
Luna de miel|Escapada de fin de semana
Strip|Desnudo
Columpio|Tubo
Baile|Baile privado
Martini|Sex on the Beach
Cóctel|Mojito
Playa|Playa nudista
Club|After party
VIP|Backstage
Dados|Verdad o reto
Póker|Strip póker
Jackpot|Propina grande
Anillo|Collar
Collar|Gargantilla
Tatuaje|Piercing
Cuero|Látex
Cadenas|Cuerda
Máscara|Antifaz
Sofá|Piso
Almohada|Esposas
Perfume|Feromonas
Labial|Labial rojo
Brillo labial|Mordida de labio
Sonrisa|Guiño
Abrazo|Caricia
Obsesión|Adicción
Pareja|Amante
Esposo|Sugar daddy
Esposa|Anillo
Novio|Aventura
Novia|Amante secreta
Ex|Amor del pasado
Vecino|Chico de la alberca
Libro|Erótica
Doctor|Enfermera
Bombero|Policía
Bailarín|Modelo
Bikini|Lencería
Influencer|OnlyFans
Selfie|Nude
Foto|Video casero
Cámara|Webcam
Chat|Sexting
Texto|DM
Llamada|Llamada nocturna
Fiesta|Orgía
Revista|Playboy
Novela|Cincuenta sombras
Tinder|Bumble
Match|Swipe
Perfil|Tinder
Mensaje|Hookup
Brunch|Mañana siguiente
Cena|Tragos
Vino|Afrodisíaco
Tequila|Ron
Shot|Gelatina con alcohol
Whisky|Cóctel
Puro|Cigarillo
Cigarrillo|Vape
Lounge|Hookah bar
Piercing|Aro en el ombligo
Atuendo|Disfraz
Corsé|Bustier
Falda|Ligas
Vestido|Camisón
Cinturón|Liguero
Panties|Depilación brasileña
Sostén|Push-up
Sauna|Jacuzzi
Resort|Motel
Habitación|Suite
Puerta|Tarjeta llave
Llave|Esposas
Cadena|Látigo
Hielo|Fuego
Palabra segura|BDSM
Juego|Verdad o reto
