# Categoría 14
Naruto|Sasuke
Goku|Vegeta
Luffy|Zoro
Ichigo|Rukia
Light|Ryuk
Edward|Alphonse
Natsu|Happy
Gon|Killua
Eren|Mikasa
Deku|Bakugo
Tanjiro|Nezuko
Shinji|Asuka
Lelouch|C.C.
Inuyasha|Kagome
Ash|Pikachu
Sailor Moon|Tuxedo Mask
Bulma|Chi-Chi
Jiraiya|Tsunade
Kakashi|Obito
Itachi|Kisame
Gohan|Trunks
Frieza|Cell
All Might|Endeavor
Erwin|Levi
Yato|Yukine
Zero Two|Hiro
Rem|Ram
Subaru|Emilia
Kaneki|Touka
Kirito|Asuna
Holo|Lawrence
Reigen|Mob
Saitama|Genos
Tomoya|Nagisa
Gintoki|Shinpachi
Kamui|Kagura
Roy Mustang|Riza Hawkeye
Greed|Envy
Shinobu|Giyu
Dazai|Chuuya
Akashi|Kuroko
Kise|Aomine
Hinata|Kageyama
Bokuto|Akaashi
Taki|Mitsuha
Howl|Sophie
Totoro|Catbus
Kiki|Jiji
Nausicaä|Ohmu
San|Ashitaka
Chihiro|Haku
No-Face|Yubaba
Haruhi|Kyon
Konata|Kagami
Taiga|Ryuuji
Tomoe|Nanami
Usagi|Luna
Homura|Madoka
Mugen|Jin
Lain|Wired
Alucard|Seras
Guts|Griffith
Araragi|Senjougahara
Hellsing|Millennium
Soul|Maka
Black Star|Tsubaki
Nia|Simon
Kamina|Yoko
Rintarou|Kurisu
Okabe|Mayuri
Violet|Gilbert
Violet Evergarden|Auto Memories
Utena|Anthy
Shouya|Shouko
Legoshi|Haru
Bojji|Kage
Denji|Power
Aki|Makima
Thorfinn|Askeladd
Anya|Loid
Yor|Bond
Loid Forger|Handler
Satou|Death March
Hachiman|Yukino
Yuno Gasai|Akise Aru
Shigaraki|Dabi
Hawks|Mirko
Maki|Panda
Gojo|Geto
Megumi|Nobara
Ai Hoshino|Aqua
Ruby|Kana
Akane|Mem-cho
Mash|Dot
Finn|Lance Crown
Chrome|Senku
Kohaku|Tsukasa
Gen|Suika
Kanao|Shinobu
Douma|Akaza
Muzan|Rui
Eri|Overhaul
Mirio|Tamaki
Hawks|Twice
Garou|Bang
Tatsumaki|Fubuki
Koro-sensei|Karma
Nagisa|Kaede
Shinoa|Yuichiro
Mikaela|Guren
Akira|Kaneda
Tetsuo|Kei
Ai Enma|Hone Onna
Hoshigaki Kisame|Zabuza
Neji|Rock Lee
Gaara|Temari
Tenten|Kurenai
Rin Okumura|Yukio
Shiemi|Mephisto
Yuki|Zero
Kaname|Shiki
Kurapika|Hisoka
Biscuit|Knuckle
Kite|Neferpitou
Speed-o’-Sound|Sonic
King|Watchdog Man
Zatch|Kiyo
Brago|Sherry
Naru|Mai
Lin|Kou
Misaki|Usui
Izuku|Tenya
Urahara|Yoruichi
